country,year,donated,received,total,data2
Poland,1992,0,9141850218,9141850218,0-9141850218
Kuwait,1992,6635123,7406838194,7413473317,6635123-7406838194
Thailand,1997,0,6371021429,6371021429,0-6371021429
Korea,1999,0,5783774361,5783774361,0-5783774361
India,2007,0,5386224705,5386224705,0-5386224705
India,1992,0,5341953099,5341953099,0-5341953099
India,2008,0,5044559917,5044559917,0-5044559917
India,2012,0,4970365576,4970365576,0-4970365576
India,1997,0,4794906726,4794906726,0-4794906726
India,1984,0,4584531386,4584531386,0-4584531386
India,2013,0,4550646147,4550646147,0-4550646147
India,1987,0,4191375895,4191375895,0-4191375895
India,1996,0,4151165519,4151165519,0-4151165519
India,2006,0,4144135136,4144135136,0-4144135136
India,1994,0,4096778597,4096778597,0-4096778597
India,1988,0,3844238228,3844238228,0-3844238228
India,2010,0,3826639675,3826639675,0-3826639675
Thailand,1999,0,3761639876,3761639876,0-3761639876
India,2009,0,3706828324,3706828324,0-3706828324
India,1981,0,3706661088,3706661088,0-3706661088
India,1974,0,3697747278,3697747278,0-3697747278
India,1991,0,3660869551,3660869551,0-3660869551
India,2011,0,3652445742,3652445742,0-3652445742
Poland,1995,0,3376022477,3376022477,0-3376022477
India,2005,0,3340560624,3340560624,0-3340560624
Thailand,1993,0,3338548445,3338548445,0-3338548445
India,1977,0,3197135157,3197135157,0-3197135157
India,1989,0,3091093501,3091093501,0-3091093501
Poland,1990,0,3069497876,3069497876,0-3069497876
India,1986,0,3003947484,3003947484,0-3003947484
India,1975,0,3000656166,3000656166,0-3000656166
India,1980,0,2968245303,2968245303,0-2968245303
India,1978,0,2927325215,2927325215,0-2927325215
India,2004,0,2884182630,2884182630,0-2884182630
India,1982,0,2822105457,2822105457,0-2822105457
Brazil,1994,0,2807702721,2807702721,0-2807702721
Saudi Arabia,1999,0,2722986716,2722986716,0-2722986716
India,1995,0,2704173002,2704173002,0-2704173002
India,1983,0,2653699004,2653699004,0-2653699004
Korea,1980,0,2625763424,2625763424,0-2625763424
India,2003,0,2616814261,2616814261,0-2616814261
Poland,1989,0,2608739881,2608739881,0-2608739881
Brazil,1995,0,2573830958,2573830958,0-2573830958
Canada,1981,546970726,2540405789,3087376515,546970726-2540405789
India,1998,0,2478951563,2478951563,0-2478951563
Brazil,2012,0,2443208137,2443208137,0-2443208137
Thailand,1998,0,2437534353,2437534353,0-2437534353
India,2002,0,2324315788,2324315788,0-2324315788
India,1973,0,2285256534,2285256534,0-2285256534
India,1976,0,2233586413,2233586413,0-2233586413
India,2001,0,2198367696,2198367696,0-2198367696
India,1990,0,2036236423,2036236423,0-2036236423
Brazil,1997,0,2033092975,2033092975,0-2033092975
India,1999,0,1932216592,1932216592,0-1932216592
Brazil,1996,0,1902899155,1902899155,0-1902899155
Colombia,2000,0,1899134643,1899134643,0-1899134643
Thailand,1991,0,1898189675,1898189675,0-1898189675
India,1985,0,1837835819,1837835819,0-1837835819
Thailand,2000,0,1792837766,1792837766,0-1792837766
Thailand,1990,0,1790643316,1790643316,0-1790643316
Brazil,1998,0,1758374210,1758374210,0-1758374210
Thailand,1996,0,1671334558,1671334558,0-1671334558
Korea,1981,0,1656173571,1656173571,0-1656173571
India,1979,0,1622748901,1622748901,0-1622748901
Colombia,2006,0,1617817757,1617817757,0-1617817757
Thailand,1982,0,1595007194,1595007194,0-1595007194
