country,year,donated,received,total,data2
Saudi Arabia,1973,0,65097,65097,0-65097
Saudi Arabia,1977,540365522,0,540365522,540365522-0
Saudi Arabia,1978,251262679,622892,251885571,251262679-622892
Saudi Arabia,1979,0,12014220,12014220,0-12014220
Saudi Arabia,1980,112421249,120375527,232796776,112421249-120375527
Saudi Arabia,1981,131496682,409548081,541044763,131496682-409548081
Saudi Arabia,1982,0,197083911,197083911,0-197083911
Saudi Arabia,1983,79371799,206745775,286117574,79371799-206745775
Saudi Arabia,1984,346714096,59201063,405915159,346714096-59201063
Saudi Arabia,1985,128074768,35529584,163604352,128074768-35529584
Saudi Arabia,1986,35996220,36516861,72513081,35996220-36516861
Saudi Arabia,1987,72707674,0,72707674,72707674-0
Saudi Arabia,1988,0,42431775,42431775,0-42431775
Saudi Arabia,1991,0,89458009,89458009,0-89458009
Saudi Arabia,1992,0,148479604,148479604,0-148479604
Saudi Arabia,1994,0,5682814,5682814,0-5682814
Saudi Arabia,1995,0,7397882,7397882,0-7397882
Saudi Arabia,1996,0,2409008,2409008,0-2409008
Saudi Arabia,1997,0,2120366,2120366,0-2120366
Saudi Arabia,1998,0,1348961,1348961,0-1348961
Saudi Arabia,1999,0,2722986716,2722986716,0-2722986716
Saudi Arabia,2000,0,707503988,707503988,0-707503988
Saudi Arabia,2001,0,5047242,5047242,0-5047242
Saudi Arabia,2002,0,2651835,2651835,0-2651835
Saudi Arabia,2003,0,8735630,8735630,0-8735630
Saudi Arabia,2004,0,12603354,12603354,0-12603354
Saudi Arabia,2005,0,9206877,9206877,0-9206877
Saudi Arabia,2006,0,14209342,14209342,0-14209342
Saudi Arabia,2007,0,16462193,16462193,0-16462193
Saudi Arabia,2008,0,348667,348667,0-348667
Saudi Arabia,2009,0,327156,327156,0-327156
Saudi Arabia,2010,0,352548,352548,0-352548
Saudi Arabia,2011,0,282125,282125,0-282125
India,1973,0,2285256534,2285256534,0-2285256534
India,1974,0,3697747278,3697747278,0-3697747278
India,1975,0,3000656166,3000656166,0-3000656166
India,1976,0,2233586413,2233586413,0-2233586413
India,1977,0,3197135157,3197135157,0-3197135157
India,1978,0,2927325215,2927325215,0-2927325215
